PHY_Long_CHP.csv
Serial number : 23339(RAID500)
From : 2008/04/27 06:30
To   : 2008/04/28 06:30
sampling rate : 15

"No.","time","CHP00-1E","CHP01-1E","CHP02-1E","CHP03-1E","CHP04-1E","CHP05-1E","CHP06-1E","CHP07-1E","CHP20-1G","CHP21-1G","CHP22-1G","CHP23-1G","CHP24-1G","CHP25-1G","CHP26-1G","CHP27-1G","CHP40-2Q","CHP41-2Q","CHP42-2Q","CHP43-2Q","CHP44-2Q","CHP45-2Q","CHP46-2Q","CHP47-2Q","CHP60-2T","CHP61-2T","CHP62-2T","CHP63-2T","CHP64-2T","CHP65-2T","CHP66-2T","CHP67-2T"
"1","2008/04/27 06:45",2,8,39,19,0,0,21,15,0,0,2,6,15,0,15,0,5,8,30,23,0,0,17,14,0,0,2,6,7,10,16,0
"2","2008/04/27 07:00",0,7,42,18,0,0,21,15,0,0,2,7,16,0,10,0,5,6,33,19,0,0,18,16,0,0,2,8,6,13,13,0
"3","2008/04/27 07:15",4,9,41,32,0,0,23,13,0,0,2,4,23,7,36,0,9,5,32,35,0,0,20,16,0,0,2,5,15,19,26,0
"4","2008/04/27 07:30",4,11,41,40,0,0,26,13,0,0,2,3,14,0,13,0,6,5,31,42,0,0,25,14,0,0,2,4,5,10,46,0
"5","2008/04/27 07:45",4,11,41,42,0,0,30,16,0,0,2,7,33,0,11,0,6,5,32,44,0,0,28,17,0,0,2,7,13,14,13,0
"6","2008/04/27 08:00",3,11,37,23,0,0,23,16,0,0,2,5,19,0,11,0,6,5,28,24,0,0,23,13,0,0,2,4,10,10,9,0
"7","2008/04/27 08:15",4,11,37,33,0,0,27,17,0,0,2,4,23,0,11,0,6,5,28,34,0,0,22,17,0,0,3,4,5,9,12,0
"8","2008/04/27 08:30",3,10,37,26,0,0,26,14,0,0,2,4,11,0,12,0,5,5,28,27,0,0,20,14,0,0,2,2,3,8,14,0
"9","2008/04/27 08:45",1,10,38,25,0,0,23,14,0,0,2,4,11,0,12,0,3,4,29,25,0,0,19,11,0,0,2,3,4,7,29,0
"10","2008/04/27 09:00",0,7,36,27,0,0,18,17,0,0,2,4,11,0,15,0,2,2,27,28,0,0,20,12,0,0,2,2,5,7,16,0
"11","2008/04/27 09:15",6,8,29,26,0,0,17,19,0,0,2,4,24,0,22,0,8,4,19,27,0,0,18,12,0,0,2,3,6,8,21,0
"12","2008/04/27 09:30",7,8,25,29,0,0,22,9,0,0,2,3,12,0,18,0,9,4,15,31,0,0,28,11,0,0,2,3,5,7,19,0
"13","2008/04/27 09:45",5,8,24,11,0,0,14,8,0,0,2,4,15,5,19,0,7,2,14,12,0,0,14,8,0,0,2,2,4,16,23,0
"14","2008/04/27 10:00",5,9,26,10,0,0,14,8,0,0,2,4,18,0,24,0,7,1,16,12,0,0,15,9,0,0,2,2,5,11,25,0
"15","2008/04/27 10:15",4,7,27,27,0,0,17,10,0,0,2,4,16,0,12,0,5,1,15,29,0,0,18,14,0,0,2,2,9,9,14,0
"16","2008/04/27 10:30",0,7,26,20,0,0,11,7,0,0,1,3,10,0,10,0,2,1,13,20,0,0,11,12,0,0,2,3,5,6,13,0
"17","2008/04/27 10:45",1,8,24,19,0,0,10,10,0,0,2,3,13,0,15,0,2,2,15,20,0,0,12,13,0,0,2,4,10,6,18,0
"18","2008/04/27 11:00",0,7,20,11,0,0,8,9,0,0,2,4,10,0,8,0,1,1,10,12,0,0,8,7,0,0,2,5,4,5,16,0
"19","2008/04/27 11:15",0,7,19,10,0,0,8,9,0,0,2,6,10,0,9,0,2,1,11,11,0,0,8,8,0,0,2,6,5,5,14,0
"20","2008/04/27 11:30",0,7,16,11,0,0,7,8,0,0,2,7,10,0,7,0,1,1,10,12,0,0,7,8,0,0,2,8,5,4,11,0
"21","2008/04/27 11:45",1,5,16,12,0,0,8,8,0,0,2,4,9,0,10,0,1,4,10,13,0,0,7,7,0,0,2,4,4,5,12,0
